CÓDIGO;DESCRIPCION;NORMA;ACREDITADO;REFERENCIA OTRA NORMA;UBICACIÓN;PRECIO;TIEMPO;COMENTARIOS
CO03A;Extracción, tallado y refrentado de testigos diamantino de concreto;NTP 339.059;NO;C 42;CAMPO;250;4 hora;"Minimo por salida 3 puntos, se requiere saber en que estructura se sacara.                         Broca 2"", 3"" y 4"" este ultimo recomendado por norma"
CO03B;Extracción de testigos diamantino de concreto;NTP 339.059;NO;C 42;CAMPO;200;1,1/2 hora;"Minimo por salida 3 puntos, se requiere saber en que estructura se sacara.                         Broca 2"", 3"" y 4"" este ultimo recomendado por norma"
CO03C;Tallado y refrentado de testigos diamantino de concreto;NTP 339.059;NO;C 42;LABORATORIO;80;2 horas;El cliente proporcionara las diamantina en laboratorio
CO03D;Resane de estructura a causa de la extracción de diamantino.;-;NO;-;CAMPO;Sujeto a evaluación;30 minutos;Esta sujeto a evaluacion de acuerdo a cantidad
CO04;Esclerometría.;NTP 339.181;NO;C 805;CAMPO;80;1,1/2 hora;Minimo por salida 6 puntos
CO11;Control de calidad del concreto fresco en obra:                                                                                                                                                                                                                                                                                                                                 * Muestreo de concreto fresco cant. 6 probetas                                                                                                                                                                                                                                                                                                                            * Ensayo asentamiento del concreto (Slump)                                                                                                                                                                                                                                                                                                                                * Control de temperatura en el concreto                                                                                                                                                                                                                                                                                                                                                 * Resistencia a la compresión ;NTP 339.036 ASTM C39/C39M-24;NO;-;CAMPO;250;-;El costo no incluye movilidad
